matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr,time_warp_shared_csr, time_row_hll,time_warp_hll,time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr,flops_warp_csr_shared,flops_row_hll,flops_warp_hll,flops_warp_shared_hll
olm1000.mtx,1000,1000,3996,0.000021192639779,0.000039650239742,0.000006023040032,0.000007022720029,0.000007498560012,0.000008507839893,0.000007016959962,0.000007365439997,377112057.933195352554321,201562463.482765078544617,1326904678.904756784439087,1138020591.382805347442627,1065804632.754493355751038,939368876.257579922676086,1138954767.183055400848389,1085067559.254848718643188
rdist2.mtx,3198,3198,56934,0.000245465922635,0.001088992966106,0.000032237119776,0.000013415039966,0.000014396480065,0.000077593601382,0.000014981760141,0.000015360320040,463885164.904521226882935,104562658.845401093363762,3532201412.232620716094971,8488085036.366189956665039,7909433381.602746009826660,1467492138.174107789993286,7600442065.914677619934082,7413126790.703064918518066
nlpkkt80.mtx,1062400,1062400,28704672,0.113507437705994,0.169737626165152,0.003866443214938,0.002275654715486,0.002508122553118,0.004300410253927,0.002108168653212,0.002683571830858,505776054.505796968936920,338224030.210848867893219,14848102198.474914550781250,25227616302.828540802001953,22889369551.994464874267578,13349736562.360322952270508,27231855436.479431152343750,21392885161.435993194580078
lung2.mtx,109460,109460,492564,0.002528970555868,0.004889392331243,0.000035301760181,0.000250339842460,0.000269173760025,0.000045675519868,0.000251650561113,0.000277717760182,389537156.814339339733124,201482706.492003947496414,27905917295.575336456298828,3935162658.571911811828613,3659821818.840810298919678,21567964696.159492492675781,3914666415.379034519195557,3547227225.779348850250244
amazon0302.mtx,262111,262111,1234877,0.008819966427982,0.011209983713925,0.000088135360129,0.000573782720021,0.000621637756703,0.000099398719394,0.000579018236604,0.000639461442479,280018526.166331291198730,220317358.439344227313995,28022282956.428318023681641,4304336665.819647789001465,3972979397.353916645050049,24846939830.327026367187500,4265416603.261259078979492,3862240685.577173233032227
adder_dcop_32.mtx,1813,1813,11246,0.000070515199477,0.000288830718491,0.000071631040046,0.000011444160018,0.000014388480067,0.000085640640391,0.000019343680051,0.000026829120106,318966693.234823107719421,77872603.431837603449821,313997953.759038805961609,1965369233.257898092269897,1563194993.135117530822754,262632319.157489418983459,1162757031.793102264404297,838342812.242421746253967
FEM_3D_thermal1.mtx,17880,17880,430740,0.001726276484551,0.002812504298054,0.000050503359998,0.000050038719637,0.000052327999911,0.000061827839891,0.000053797119981,0.000052409279924,499039410.957459986209869,306303531.907902896404266,17057874961.730531692504883,17216267847.139457702636719,16463079068.018899917602539,13933528998.007530212402344,16013496638.924551010131836,16437546962.033107757568359
raefsky2.mtx,3242,3242,294276,0.001206522875000,0.001763903993415,0.000123245437208,0.000016975359895,0.000018029759867,0.000137543360761,0.000017820160010,0.000020381440099,487808405.621900677680969,333664418.356824040412903,4775446566.910396575927734,34670958592.209953308105469,32643363213.648105621337891,4279028785.861289501190186,33027312867.249034881591797,28876860375.544506072998047
thermal2.mtx,1228045,1228045,8580313,0.050934800952673,0.073971056342125,0.000635500482167,0.002687229122967,0.002904805112630,0.000587917437661,0.002689103055745,0.002976148154121,336913577.338706493377686,231991090.145178735256195,27003324909.338584899902344,6385992862.810214996337891,5907668616.178545951843262,29188836562.302104949951172,6381542709.319272994995117,5766052330.506032943725586
mhda416.mtx,416,416,8562,0.000039582400423,0.000087797438900,0.000011720640014,0.000007490240041,0.000007900159967,0.000016773119814,0.000008011199920,0.000008401599903,432616511.812078893184662,195039857.818811863660812,1461012366.222068309783936,2286175063.293790817260742,2167551045.996904850006104,1020919196.279196143150330,2137507510.733238458633423,2038183226.790691375732422
